name,type,all_type,description,group,all_group,indoor_outdoor,all_in_out,longitude,latitude,geometry
Aarhus VR,Entertainment,Show all,Virtual Reality Center located in Brabrand,Both children and adults,Show all,Indoor,Show all,10.121505029614923,56.16618196428782,"c(10.1215050296149, 56.1661819642878)"
Eventpark Aarhus,Entertainment,Show all,"Eventpark Aarhus resides many activities such as VR-escape room, lasertag, bouncy castles, trampolines, airhockey, arcade games, and much more.",Both children and adults,Show all,Indoor,Show all,10.121288373963337,56.165711115634515,"c(10.1212883739633, 56.1657111156345)"
Fitnessplads ved Egå Marina ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.289289960000138,56.21265602999978,"c(10.2892899600001, 56.2126560299998)"
Svinbo Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.324457618608319,56.240683272086144,"c(10.3244576186083, 56.2406832720861)"
Holme Bypark,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.180345252896617,56.11016360142034,"c(10.1803452528966, 56.1101636014203)"
Ørnereden,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.236732276731749,56.10100145478521,"c(10.2367322767317, 56.1010014547852)"
Shelter i Hørhaven i skoven,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.227179880000108,56.11466996999978,"c(10.2271798800001, 56.1146699699998)"
Shelter ved Moesgård Strand,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.244414880000118,56.088372959999774,"c(10.2444148800001, 56.0883729599998)"
Shelter i Hørhaven på bakken,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.229495040000112,56.11287995999977,"c(10.2294950400001, 56.1128799599998)"
Shelter i Moesgård Skov,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.227714000000109,56.097407999999774,"c(10.2277140000001, 56.0974079999998)"
Dagshelter i Hørhaven,Shelter,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.230216840000109,56.11356800999978,"c(10.2302168400001, 56.1135680099998)"
Fitnessplads Gåsehaven ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.22752800000011,56.111279039999765,"c(10.2275280000001, 56.1112790399998)"
Fitnessplads Lyseng Idrætsanlæg ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.193218920000096,56.11257395999978,"c(10.1932189200001, 56.1125739599998)"
Fitnessplads i Håndværkerparken ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.173103920000086,56.10484097999977,"c(10.1731039200001, 56.1048409799998)"
Fitnessplads i Lerdalen ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.222239960000108,56.10452696999978,"c(10.2222399600001, 56.1045269699998)"
Bålplads ved Moesgård Strand - Ndr. Strandmark,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.24769412000012,56.093136029999776,"c(10.2476941200001, 56.0931360299998)"
Bålplads ved Moesgård Strand - Sdr. Strandmark,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.248333840000118,56.08621997999978,"c(10.2483338400001, 56.0862199799998)"
Bålplads ved Ballehage,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.224552960000107,56.121337979999765,"c(10.2245529600001, 56.1213379799998)"
Bålplads på stranden ved Blommehaven Camping,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.23600384000011,56.10906899999977,"c(10.2360038400001, 56.1090689999998)"
Bålplads ved Ørnereden,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.236555000000113,56.10108095999977,"c(10.2365550000001, 56.1010809599998)"
Bålhytte i Skåde Skov,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.239155000000117,56.09536999999979,"c(10.2391550000001, 56.0953699999998)"
Grumstolen,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.21758516656819,56.113160689536464,"c(10.2175851665682, 56.1131606895365)"
Moesgård Have,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.228849191431738,56.08046873535535,"c(10.2288491914317, 56.0804687353554)"
Thorsskov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.221138574922273,56.11785584199925,"c(10.2211385749223, 56.1178558419993)"
Skåde Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.231726782783886,56.10431364494316,"c(10.2317267827839, 56.1043136449432)"
Moesgård Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.234500385720292,56.09400440326461,"c(10.2345003857203, 56.0940044032646)"
Marselisborg Deer Park,Park,Show all,Free nature preserve & zpp with free-ranging wild boar & deer,Both children and adults,Show all,Outdoor,Show all,10.218638881257412,56.12326250555318,"c(10.2186388812574, 56.1232625055532)"
Moesgaard museum,Museum,Show all,"Moesgaard Museum is a popular destination for museum enthusiasts and nature lovers alike. The new museum building is the venue for world-class prehistoric and ethnographic exhibitions. Situated in the undulating landscape south of Aarhus, the museum constitutes a unique trinity of nature, culture, and history.",Both children and adults,Show all,Indoor and Outdoor,Show all,10.222900005496525,56.090309106689084,"c(10.2229000054965, 56.0903091066891)"
Moesgaard strand,Beach,Show all,Beach at Moesgaard,Both children and adults,Show all,Outdoor,Show all,10.24810313955362,56.08889213471035,"c(10.2481031395536, 56.0888921347103)"
Ballehage Strand,Beach,Show all,Beach at Marselisborg,Both children and adults,Show all,Outdoor,Show all,10.226486004700586,56.121091170188414,"c(10.2264860047006, 56.1210911701884)"
