name,type,all_type,description,group,all_group,indoor_outdoor,all_in_out,longitude,latitude,geometry
Fitnessplads Riis Skov ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.221158160000105,56.17001600999978,"c(10.2211581600001, 56.1700160099998)"
Bålplads Kimbrerdalen i Lisbjerg,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.171168920000081,56.22707897999976,"c(10.1711689200001, 56.2270789799998)"
Træklatring i Vestereng Skov,Sport and fitness,Show all,Tree climbing,Both children and adults,Show all,Outdoor,Show all,10.18395195238458,56.18582736790754,"c(10.1839519523846, 56.1858273679075)"
Vestereng,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.18030760069878,56.184419335247924,"c(10.1803076006988, 56.1844193352479)"
Brendstrup Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.154693930542,56.18353407311748,"c(10.154693930542, 56.1835340731175)"
"Lisbjerg Skov, den gamle del",Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.174451603510747,56.23295096358043,"c(10.1744516035107, 56.2329509635804)"
"Lisbjerg Skov, den nye del",Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.16822970254678,56.22784503493881,"c(10.1682297025468, 56.2278450349388)"
Aarhus Skating Rink,Sport and fitness,Show all,Indoor skating rink. Only open from March-October,Both children and adults,Show all,Indoor,Show all,10.189579083091049,56.18245875163238,"c(10.189579083091, 56.1824587516324)"
Aarhus Beach Volley,Sport and fitness,Show all,"Aarhus Beach Volley club, where volleyball fields can be rented. Has indoor facilities during the winter months",Both children and adults,Show all,Indoor and Outdoor,Show all,10.183270527435388,56.18288867091209,"c(10.1832705274354, 56.1828886709121)"
Nordisk Film Biografer Trøjborg,Cinema,Show all,Movie theatre at Trøjborg,Both children and adults,Show all,Indoor,Show all,10.21553190414435,56.170882781538054,"c(10.2155319041444, 56.1708827815381)"
Botanisk Have,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.192028609585996,56.161545421852125,"c(10.192028609586, 56.1615454218521)"
Botanisk Have,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.193779310796272,56.15857515965875,"c(10.1937793107963, 56.1585751596588)"
Frederiksbjerg Bypark,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.188984475202984,56.14718288880334,"c(10.188984475203, 56.1471828888033)"
Kirkedammen,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.17881907862327,56.14031572304101,"c(10.1788190786233, 56.140315723041)"
Mindeparken,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.203984310518242,56.12955553345118,"c(10.2039843105182, 56.1295555334512)"
Rømerhaven,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.207439060705246,56.13115886353106,"c(10.2074390607052, 56.1311588635311)"
Tiegtens Plads,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.203014318170618,56.144484963566185,"c(10.2030143181706, 56.1444849635662)"
Vennelystparken,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.20663584698425,56.165166565720455,"c(10.2066358469843, 56.1651665657205)"
DOKK1,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.213999828021997,56.153385621777375,"c(10.213999828022, 56.1533856217774)"
Fitnessplads Tangkrogen ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.210955040000101,56.13883001999977,"c(10.2109550400001, 56.1388300199998)"
Fitnessplads Mindeparken ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.203855120000098,56.129051969999765,"c(10.2038551200001, 56.1290519699998)"
Fitnessplads Frederiksbjerg Bypark ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.190007000000094,56.14730900999977,"c(10.1900070000001, 56.1473090099998)"
Fitnessplads i Havreballe Skov ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.195697880000093,56.134288979999766,"c(10.1956978800001, 56.1342889799998)"
Bålplads i Havreballe Skov,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.203216120000096,56.137313969999774,"c(10.2032161200001, 56.1373139699998)"
Bålhytte i Havreballe Skov,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.203063120000097,56.13701102999976,"c(10.2030631200001, 56.1370110299998)"
Bålplads i Thors Skov,Bonfire pits,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.2119720000001,56.12197699999979,"c(10.2119720000001, 56.1219769999998)"
Træklatring i Havreballe Skov,Sport and fitness,Show all,Tree climbing,Both children and adults,Show all,Outdoor,Show all,10.203792954929643,56.138158903530055,"c(10.2037929549296, 56.1381589035301)"
Klatreområde Folkestedet,Sport and fitness,Show all,Tree climbing,Both children and adults,Show all,Outdoor,Show all,10.193932829525124,56.15552369309485,"c(10.1939328295251, 56.1555236930948)"
Kirkeskov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.203478247807245,56.123000422937686,"c(10.2034782478072, 56.1230004229377)"
Forstbotanisk Have,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.200662446311785,56.125460694797454,"c(10.2006624463118, 56.1254606947975)"
Hestehaven,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.211611419169763,56.12288972231933,"c(10.2116114191698, 56.1228897223193)"
Havreballe Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.199681311990261,56.133943342784804,"c(10.1996813119903, 56.1339433427848)"
ARoS,Museum,Show all,ARoS is the main art museum in Aarhus and a unique international art museum for young as old.  ARoS has been awarded two Michelin stars in Michelin's tourism guide,Both children and adults,Show all,Indoor,Show all,10.1997481837217,56.15406836215421,"c(10.1997481837217, 56.1540683621542)"
Radar,Venue,Show all,Spillested,Adults,Show all,Indoor,Show all,10.194693439010802,56.15354989940669,"c(10.1946934390108, 56.1535498994067)"
KØN - Gender Museum Denmark,Museum,Show all,State-run cultural & historical museum examining women's experiences in Denmark throughout the ages.,Both children and adults,Show all,Indoor,Show all,10.211362881870421,56.157294947985854,"c(10.2113628818704, 56.1572949479859)"
The Cathedral of Aarhus,Church,Show all,"Gothic church dating from the 12th century dedicated to Saint Clement, with fresco-covered arches.",Both children and adults,Show all,Indoor,Show all,10.210858626581294,56.15698424424416,"c(10.2108586265813, 56.1569842442442)"
Aarhus Theatre,Theater,Show all,"Inaugurated in 1900, this theater features a decorative facade & lavish interiors.",Both children and adults,Show all,Indoor,Show all,10.210890813089105,56.156255275602106,"c(10.2108908130891, 56.1562552756021)"
Viking Museum,Museum,Show all,"Underground Viking museum with interactive exhibits, model streets & archaeological artifacts.",Both children and adults,Show all,Indoor,Show all,10.209155443539524,56.156642957386495,"c(10.2091554435395, 56.1566429573865)"
Museum of Ancient Art,Museum,Show all,"Museum showcasing ancient Mediterranean casts & objects, from the Bronze Age to the Roman Empire.",Adults,Show all,Indoor,Show all,10.200483772427283,56.17078053216425,"c(10.2004837724273, 56.1707805321643)"
Natural History Museum,Museum,Show all,"Educational museum featuring 5 exhibits of preserved animals, geological history & a gift shop.",Both children and adults,Show all,Indoor,Show all,10.202586624271312,56.16765057867399,"c(10.2025866242713, 56.167650578674)"
Steno Museum,Museum,Show all,Science museum featuring several permanent exhibitions aimed at children & adults alike.,Both children and adults,Show all,Indoor,Show all,10.202844116333848,56.165727083753616,"c(10.2028441163338, 56.1657270837536)"
Botanical Garden,Park,Show all,"Grassy lawns & greenhouses with Mediterranean, desert & tropical plants, plus picnic tables.",Both children and adults,Show all,Outdoor,Show all,10.189673741560096,56.16249642367417,"c(10.1896737415601, 56.1624964236742)"
Musikhuset,Venue,Show all,Live music venue with several different types of music and shows.,Both children and adults,Show all,Indoor,Show all,10.199730625159875,56.15305240902137,"c(10.1997306251599, 56.1530524090214)"
Rådhusparken,Park,Show all,"Small, relaxed city park featuring garden areas, open lawns, large trees & various sculptures.",Both children and adults,Show all,Outdoor,Show all,10.2017439297455,56.15186094237423,"c(10.2017439297455, 56.1518609423742)"
Mølleparken,Park,Show all,"Walks, sports & striking public sculptures by the canal, plus bar terraces & live bands in summer.",Both children and adults,Show all,Outdoor,Show all,10.200461084527019,56.15615076370633,"c(10.200461084527, 56.1561507637063)"
Godsbanen,Cultural center,Show all,"Workshops open for public use dealing in pottery, metal & woodwork, graphic design & laser cutting.",Adults,Show all,Indoor,Show all,10.193904612138315,56.15387193707342,"c(10.1939046121383, 56.1538719370734)"
Aarhus Svømmestadion,Sport and fitness,Show all,Public indoor swimming pool,Both children and adults,Show all,Indoor,Show all,10.197232145156663,56.14406869601327,"c(10.1972321451567, 56.1440686960133)"
Badeanstalten Spanien,Wellness,Show all,Indoor pool and spa with sauna and steam showers,Both children and adults,Show all,Indoor,Show all,10.21140805184869,56.151774885326184,"c(10.2114080518487, 56.1517748853262)"
Marselisborg  Slotspark,Park,Show all,"The gardens beloning to the Danish Queen's summer residence. The castle itself is not open to the public from the inside, from the park surrounding it is.",Both children and adults,Show all,Outdoor,Show all,10.200517877268732,56.12754419058329,"c(10.2005178772687, 56.1275441905833)"
Mindeparken,Park,Show all,"English-style gardens surrounding a royal palace, with a war memorial, a playground & sea views.",Both children and adults,Show all,Outdoor,Show all,10.205989583689995,56.12945763869681,"c(10.20598958369, 56.1294576386968)"
Marselisborg Beach,Beach,Show all,Beach at Marselisborg,Both children and adults,Show all,Outdoor,Show all,10.213907464641407,56.128811860581685,"c(10.2139074646414, 56.1288118605817)"
The Infinite Bridge,Beach,Show all,"Scenic, round bridge by the ocean",Both children and adults,Show all,Outdoor,Show all,10.218198999080917,56.1249728447188,"c(10.2181989990809, 56.1249728447188)"
Marselisborg Marina,Marina,Show all,"Marina where you can eat food, gets drinks and eat icecream",Both children and adults,Show all,Outdoor,Show all,10.215763553292861,56.138736511739914,"c(10.2157635532929, 56.1387365117399)"
