anlaegsbet,kommunenav,mean_elev,sd
Administrationsbygning,København,0.03673628128603772,0.05195294722586746
Affaldsgrube,Aabenraa,39.54747343118907,15.430006045923358
Affaldsgrube,Aalborg,21.78602565006367,13.325138297286108
Affaldsgrube,Ærø,20.96844726625604,15.238988047880387
Affaldsgrube,Albertslund,16.976368828690184,6.621450136047845
Affaldsgrube,Allerød,46.84588625606225,5.9061052679558825
Affaldsgrube,Aarhus,53.02082267312864,25.294866550936423
Affaldsgrube,Assens,34.90263194645005,24.568901715873878
Affaldsgrube,Ballerup,26.526335730074827,7.042334825514787
Affaldsgrube,Billund,65.6182700770646,13.619796895699267
Affaldsgrube,Bornholm,62.02003320379407,35.07389743736243
Affaldsgrube,Brøndby,9.563740936666125,3.3081481010731397
Affaldsgrube,Brønderslev,23.59586842196959,12.136979203523772
Affaldsgrube,Dragør,5.955545384941686,0
Affaldsgrube,Egedal,26.382612902015172,10.726917802510611
Affaldsgrube,Esbjerg,12.483113164573224,8.984368477123414
Affaldsgrube,Faaborg-Midtfyn,56.1707814580521,21.24674884835573
Affaldsgrube,Favrskov,59.91858123313167,17.357907736364666
Affaldsgrube,Faxe,36.302030100718255,14.313438573749794
Affaldsgrube,Fredensborg,22.066984786983433,9.10398038145181
Affaldsgrube,Fredericia,24.513583718442668,10.611361763536557
Affaldsgrube,Frederiksberg,12.309457712589776,2.40324887754527
Affaldsgrube,Frederikshavn,38.17456293710061,15.641437442400713
Affaldsgrube,Frederikssund,19.789904426163627,10.813814889382472
Affaldsgrube,Furesø,40.27670645566354,10.56491659975175
Affaldsgrube,Gentofte,11.925754128115713,8.01993911819463
Affaldsgrube,Gladsaxe,26.26126808984612,5.700298024688286
Affaldsgrube,Glostrup,21.1768580946178,1.2341198068121948
Affaldsgrube,Greve,13.723561377823474,5.264152260694153
Affaldsgrube,Gribskov,20.750141097517876,9.535827530727424
Affaldsgrube,Guldborgsund,10.85796654960575,7.43567972502564
Affaldsgrube,Haderslev,36.55154238401461,15.109491086608397
Affaldsgrube,Halsnæs,16.241365868650625,11.301117993336707
Affaldsgrube,Hedensted,56.373795639224035,21.105394476563664
Affaldsgrube,Helsingør,19.89327616369081,18.981716636037724
Affaldsgrube,Herlev,33.81716696488383,1.2171486572796755
Affaldsgrube,Herning,51.610659409487084,11.32933131863669
Affaldsgrube,Hillerød,22.611789035118377,8.774676818785764
Affaldsgrube,Hjørring,28.108331950033605,11.948623357803132
Affaldsgrube,Høje-Taastrup,30.248650000211114,6.347077076870909
Affaldsgrube,Holbæk,22.905338154294196,14.724602926346005
Affaldsgrube,Holstebro,27.962144883278754,13.89317652878993
Affaldsgrube,Horsens,54.91028477729296,29.628744355930863
Affaldsgrube,Hørsholm,21.712923197006322,7.660218133052984
Affaldsgrube,Hvidovre,10.32340325019948,4.472579366281795
Affaldsgrube,Ikast-Brande,83.86149713199886,25.39462197101473
Affaldsgrube,Ishøj,12.087146101674728,6.680964504064188
Affaldsgrube,Jammerbugt,14.86666281226973,12.62249227831854
Affaldsgrube,Kalundborg,19.599187917982935,13.379413864111187
Affaldsgrube,Kerteminde,14.605236684897477,8.023569498248873
Affaldsgrube,København,8.203144221489573,4.856590397115464
Affaldsgrube,Køge,18.313112452936736,11.850434355276674
